Code,Indicator Name,Long definition,Source
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)","Lower secondary education completion rate is measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SG.COK.CROP.ZS,Main cooking fuel: agricultural crop (% of households),Percentage of households who use agricultural crop as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.CHCO.ZS,Main cooking fuel: charcoal (% of households),Percentage of households who use charcoal as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.DUNG.ZS,Main cooking fuel: dung (% of households),Percentage of households who use dung as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.ELEC.ZS,Main cooking fuel: electricity  (% of households),Percentage of households who use electricity as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.LPGN.ZS,Main cooking fuel: LPG/natural gas/biogas (% of households),Percentage of households who use Liquified Petroleum Gas (LPG) or natural gas or biogas as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.STRW.ZS,Main cooking fuel: straw/shrubs/grass (% of households),Percentage of households who use straw/shrubs/grass as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.COK.WOOD.ZS,Main cooking fuel: wood (% of households),Percentage of households who use wood as thier main cooking fuel,Demographic and Health Surveys (DHS)
SG.OWN.PRRT.MR,Married men and married women have equal ownership rights to property (1=yes; 0=no),"Married men and married women have equal ownership rights to property is whether married men and married women have equal ownership rights to property. Ownership rights as used here covers the ability to manage, control, administer, access, encumber, receive, dispose of and transfer property. The answer is “Yes” when there is no specific legal restriction related to property applied to married women or men based on gender. The answer is “No” when there are gender differences in the legal treatment of spousal property, for example, if husbands are granted administrative control over marital property.","World Bank, Women, Business and the Law."
SG.LAW.OBHB.MR,Married women are required by law to obey their husbands (1=yes; 0=no),"Married women are required by law to obey their husbands is whether there is an explicit provision stating that a married woman must obey her husband, or a provision states that disobedience toward her husband has legal ramifications for the wife, such as loss of maintenance.","World Bank, Women, Business and the Law."
SG.OBT.IDCD.MR,Married women can obtain a national ID card in the same way as married men (1=yes; 0=no),"Married women can obtain a national ID card in the same way as married men is equality in the process for obtaining a national identity card by married woman compared to married man. The answer is “Yes” if there are no inequalities in the process for obtaining a national identity card. If married men must provide a marriage certificate or birth certificate as proof of name, whereas married women must provide a marriage certificate, the answer is still “Yes.” The answer is “No” if a married woman must provide a marriage certificate, but a married man need not, or a married woman, but not a married man, must provide additional signatures, such as those of the husband, father or guardian, or a married woman must indicate the name of her spouse, but a married man is not so required, or identity cards are optional for women, but required for men, or the identity card of a married woman displays the name of her spouse, but the identity card of a married man does not. The answer is “N/A” if there is no national identity card.","World Bank, Women, Business and the Law."
SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births. The data are estimated with a regression model using information on the proportion of maternal deaths among non-AIDS deaths in women ages 15-49, fertility, birth attendants, and GDP.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva, World Health Organization, 2015"
SH.MMR.LEVE,Maternity leave (days paid),"Maternity leave is the mandatory minimum number of calendar days that legally must be paid by the government, the employer or both. It refers to leave related to the birth of a child that is only available to the mother; it does not cover parental leave that is available to both parents.","World Bank, Women, Business and the Law."
SH.MMR.WAGE.ZS,Maternal leave benefits (% of wages paid),Maternity leave benefits refers to the total percentage of wages covered by all sources during paid maternity leave.,"World Bank, Women, Business and the Law."
WP15163_4.3,"Mobile account, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15163_4.2,"Mobile account, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11672.3,"Mobile phone used to pay bills, female (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to pay bills in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11672.2,"Mobile phone used to pay bills, male (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to pay bills in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.3,"Mobile phone used to receive money, female (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11674.2,"Mobile phone used to receive money, male (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.3,"Mobile phone used to send money, female (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.2,"Mobile phone used to send money, male (% age 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
SH.DYN.CHLD.FE,"Mortality rate, female child (per 1,000 female children age one)","Child mortality rate is the probability of dying between the exact ages of one and five, if subject to current age-specific mortality rates. The probability is expressed as a rate per 1,000.","Demographic and Health Surveys by ICF International, Multiple Indicators Cluster Surveys by UNICEF, Reproductive Health Surveys by U.S. Center for Disease Control, and Family Health Surveys by Pan Arab Project for Family Health. See footnotes for a source."
SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)","Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.","Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org. Projected data are from the United Nations Population Division's World Population Prospects; and may in some cases not be consistent with data before the current year."
SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)","Infant mortality rate, female is the number of female infants dying before reaching one year of age, per 1,000 female live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)","Infant mortality rate, male is the number of male infants dying before reaching one year of age, per 1,000 male live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
SH.DYN.CHLD.MA,"Mortality rate, male child (per 1,000 male children age one)","Child mortality rate is the probability of dying between the exact ages of one and five, if subject to current age-specific mortality rates. The probability is expressed as a rate per 1,000.","Demographic and Health Surveys by ICF International, Multiple Indicators Cluster Surveys by UNICEF, Reproductive Health Surveys by U.S. Center for Disease Control, and Family Health Surveys by Pan Arab Project for Family Health. See footnotes for a source."
SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)","Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)","Under-five mortality rate is the probability per 1,000 that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year.","Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org. Projected data are from the United Nations Population Division's World Population Prospects; and may in some cases not be consistent with data before the current year."
SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)","Under-five mortality rate, female is the probability per 1,000 that a newborn female baby will die before reaching age five, if subject to female age-specific mortality rates of the specified year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)","Under-five mortality rate, male is the probability per 1,000 that a newborn male baby will die before reaching age five, if subject to male age-specific mortality rates of the specified year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
SG.MMR.LEVE.EP,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),"Mothers are guaranteed an equivalent position after maternity leave is whether employers of women returning from maternity leave are legally obligated to provide them with an equivalent position after maternity leave. It takes into account paid and unpaid maternity leave and captures whether the employer has a legal obligation to reinstate the returning employee in an equivalent or better position and salary than the employee had pre-leave. Where the maternity leave regime explicitly states that the employee may not be indefinitely replaced, the answer is assumed to be “Yes.” Where the maternity leave regime explicitly establishes a suspension of the employee’s contract, the answer is assumed to be “Yes.” In economies that also have parental leave and the law guarantees return after the leave to the same or an equivalent position paid at the same rate but is silent on guaranteeing the same position after maternity leave, the answer is “Yes.” The answer is “N/A” if no paid or unpaid maternity leave is available.","World Bank: Women, Business and the Law."
SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SG.NOD.CONS,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),"Nondiscrimination clause mentions gender in the constitution is whether there is a nondiscrimination clause in the constitution which mentions gender. For the answer to be “Yes,” the constitution must use either the word discrimination or the word nondiscrimination or even when there is a “clawback” provision granting exceptions to the nondiscrimination clause for certain areas of the law, such as inheritance, family and customary law. The answer is “No” if there is no nondiscrimination provision, or the nondiscrimination language is present in the preamble but not in an article of the constitution, or there is a provision that merely stipulates that the sexes are equal, or the sexes have equal rights and obligations. The answer is "N/A" if there is no nondiscrimination provision.","World Bank: Women, Business and the Law."
SG.JOB.NOPN.EQ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),"Non-pregnant and non-nursing women can do the same jobs as men indicates whether there are specific jobs that women explicitly or implicitly cannot perform except in limited circumstances. Both partial and full restrictions on women’s work are counted as restrictions. For example, if women are only allowed to work in certain jobs within the mining industry, e.g., as health care professionals within mines but not as miners, this is a restriction.","World Bank: Women, Business and the Law."
SH.MMR.DTHS,Number of maternal deaths,"A maternal death refers to the death of a woman while pregnant or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva, World Health Organization, 2015"
WP11671.3,"Outstanding loan for funerals or weddings, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11671.2,"Outstanding loan for funerals or weddings, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for a funeral or wedding (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.3,"Outstanding loan for health or emergencies, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11670.2,"Outstanding loan for health or emergencies, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan for emergency or health purposes (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.3,"Outstanding loan for home construction, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11668.2,"Outstanding loan for home construction, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase materials or services to build, extend, or renovate their home or apartment (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.3,"Outstanding loan to pay school fees, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11669.2,"Outstanding loan to pay school fees, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to pay for school fees (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.3,"Outstanding loan to purchase a home, female (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11656.2,"Outstanding loan to purchase a home, male (% age 15+) [w1]","Denotes the percentage of respondents who report having an outstanding loan to purchase their home or apartment (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15167.3,"Outstanding mortgage, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15167.2,"Outstanding mortgage, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an outstanding loan (by themselves or together with someone else) from a bank or another type of financial institution to purchase a home, an apartment, or land (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SL.EMP.OWAC.FE.ZS,"Own-account workers, female (% of total female employment)","Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as "self-employment jobs" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of "self-employed".","International Labour Organization, Key Indicators of the Labour Market database."
SL.EMP.OWAC.MA.ZS,"Own-account workers, male (% of total male employment)","Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as "self-employment jobs" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of "self-employed".","International Labour Organization, Key Indicators of the Labour Market database."
WP15172.3,"Paid school fees in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172.2,"Paid school fees in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments for school fees in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.3,"Paid utility bills in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940.2,"Paid utility bills in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally making regular payments in the past 12 months for water, electricity, or trash collection (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)",Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.TLF.PART.TL.FE.ZS,"Part time employment, female (% of total part time employment)",Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)",Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SH.STA.ODFC.ZS,People practicing open defecation (% of population),"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms),Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/)."
SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
WP11658.3,"Personally paid for health insurance, female (% age 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11658.2,"Personally paid for health insurance, male (% age 15+) [w1]","Denotes the percentage of respondents who currently have health or medical insurance (in addition to national health insurance) and who personally purchased this insurance (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population.,World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects.
SP.POP.0014.FE.IN,"Population ages 0-14, female","Female population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),"Total population between the ages 15 to 64 is the number of people who could potentially be economically active. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.",World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects.
SP.POP.1564.FE.IN,"Population ages 15-64, female","Female population between the ages 15 to 64 is the number of females who could potentially be economically active. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1564.MA.IN,"Population ages 15-64, male","Male population between the ages 15 to 64 is the number of males who could potentially be economically active. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1564.TO,"Population ages 15-64, total","Total population between the ages 15 to 64 is the number of people who could potentially be economically active. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),"Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.",World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects.
SP.POP.65UP.FE.IN,"Population ages 65 and above, female","Female population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.TOTL.FE.IN,"Population, female","Female population is based on the de facto definition of population, which counts all female residents regardless of legal status or citizenship. Refugees not permanently settled in the country of asylum are generally considered to be part of the population of their country of origin.","World Bank staff estimates using the World Bank's population and distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.TOTL.FE.ZS,"Population, female (% of total)","Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of the country of origin.",World Bank staff estimates based on male/female distributions of United Nations Population Division's World Population Prospects.
SP.POP.TOTL,"Population, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. The values shown are midyear estimates.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Report (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population),National poverty headcount ratio is the percentage of the population living below the national poverty lines. National estimates are based on population-weighted subgroup estimates from household surveys.,"World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines."
SI.POV.DDAY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Poverty headcount ratio at $1.90 a day is the percentage of the population living on less than $1.90 a day at 2011 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions. Note: five countries -- Bangladesh, Cabo Verde, Cambodia, Jordan, and Lao PDR -- use the 2005 PPP conversion factors and corresponding $1.25 a day and $2 a day poverty lines. This is due to the large deviations in the rate of change in PPP factors relative to the rate of change in domestic consumer price indexes. See Box 1.1 in the Global Monitoring Report 2015/2016 (http://www.worldbank.org/en/publication/global-monitoring-report) for a detailed explanation.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)."
SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%),Pregnant women receiving prenatal care are the percentage of women attended at least once during pregnancy by skilled health personnel for reasons related to pregnancy.,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of anemia among women of reproductive age refers to the combined prevalence of both non-pregnant with haemoglobin levels below 12 g/dL and pregnant women with haemoglobin levels below 11 g/dL.,"Stevens GA et al. Global, regional, and national trends in hemoglobin concentration and prevalence of total and severe anemia in children and pregnant and non-pregnant women for 1995-2011: a systematic analysis of population-representative data. The Lancet Global Health 2013;1:e16-e25."
SH.STA.FGMS.ZS,Female genital mutilation prevalence (%),Percentage of women aged 15–49 who have gone through partial or total removal of the female external genitalia or other injury to the female genital organs for cultural or other non-therapeutic reasons.,UNICEF Childinfo (childinfo.org).
SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)",Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.,UNAIDS estimates.
SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)",Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.,UNAIDS estimates.
SH.STA.OB18.FE.ZS,"Prevalence of obesity, female (% of female population ages 18+)","Prevalence of obesity adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is 30 kg/m² or higher. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.",World Health Organization (WHO):Global Health Observatory Data Repository
SH.STA.OB18.MA.ZS,"Prevalence of obesity, male (% of male population ages 18+)","Prevalence of obesity adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is 30 kg/m² or higher. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.",World Health Organization (WHO): Global Health Observatory Data Repository
SH.STA.OW15.FE.ZS,"Prevalence of overweight, female (% of female adults)","Prevalence of overweight adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)."
SH.STA.OW15.MA.ZS,"Prevalence of overweight, male (% of male adults)","Prevalence of overweight adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)."
